
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
0             0x0             Flattened device tree, size: 4733772 bytes, version: 17
228           0xE4            gzip compressed data, maximum compression, has original file name: "Image", from Unix, last modified: 2020-05-07 07:59:48
4140220       0x3F2CBC        Flattened device tree, size: 39191 bytes, version: 17
4179692       0x3FC6EC        Flattened device tree, size: 39356 bytes, version: 17
4219328       0x4061C0        Flattened device tree, size: 34740 bytes, version: 17
4254348       0x40EA8C        Flattened device tree, size: 38782 bytes, version: 17
4293412       0x418324        Flattened device tree, size: 34740 bytes, version: 17
4328432       0x420BF0        Flattened device tree, size: 34867 bytes, version: 17
4363580       0x42953C        Flattened device tree, size: 38728 bytes, version: 17
4402588       0x432D9C        Flattened device tree, size: 34879 bytes, version: 17
4437748       0x43B6F4        Flattened device tree, size: 50997 bytes, version: 17
4489028       0x447F44        Flattened device tree, size: 39038 bytes, version: 17
4528348       0x4518DC        Flattened device tree, size: 43543 bytes, version: 17
4572172       0x45C40C        Flattened device tree, size: 39084 bytes, version: 17
4611536       0x465DD0        Flattened device tree, size: 44309 bytes, version: 17
4656128       0x470C00        Flattened device tree, size: 35039 bytes, version: 17
4691448       0x4795F8        Flattened device tree, size: 39205 bytes, version: 17
4825088       0x49A000        Squashfs filesystem, little endian, version 4.0, compression:xz, size: 15041950 bytes, 2230 inodes, blocksize: 262144 bytes, created: 2020-05-07 08:03:40
20316160      0x1360000       Flattened device tree, size: 4733772 bytes, version: 17
20316388      0x13600E4       gzip compressed data, maximum compression, has original file name: "Image", from Unix, last modified: 2020-05-07 07:59:48
24456380      0x1752CBC       Flattened device tree, size: 39191 bytes, version: 17
24495852      0x175C6EC       Flattened device tree, size: 39356 bytes, version: 17
24535488      0x17661C0       Flattened device tree, size: 34740 bytes, version: 17
24570508      0x176EA8C       Flattened device tree, size: 38782 bytes, version: 17
24609572      0x1778324       Flattened device tree, size: 34740 bytes, version: 17
24644592      0x1780BF0       Flattened device tree, size: 34867 bytes, version: 17
24679740      0x178953C       Flattened device tree, size: 38728 bytes, version: 17
24718748      0x1792D9C       Flattened device tree, size: 34879 bytes, version: 17
24753908      0x179B6F4       Flattened device tree, size: 50997 bytes, version: 17
24805188      0x17A7F44       Flattened device tree, size: 39038 bytes, version: 17
24844508      0x17B18DC       Flattened device tree, size: 43543 bytes, version: 17
24888332      0x17BC40C       Flattened device tree, size: 39084 bytes, version: 17
24927696      0x17C5DD0       Flattened device tree, size: 44309 bytes, version: 17
24972288      0x17D0C00       Flattened device tree, size: 35039 bytes, version: 17
25007608      0x17D95F8       Flattened device tree, size: 39205 bytes, version: 17
25141248      0x17FA000       Squashfs filesystem, little endian, version 4.0, compression:xz, size: 15041950 bytes, 2230 inodes, blocksize: 262144 bytes, created: 2020-05-07 08:03:40
40661042      0x26C7032       Executable script, shebang: "/bin/sh"
40702002      0x26D1032       Executable script, shebang: "/bin/sh"
40716338      0x26D4832       Executable script, shebang: "/bin/sh"
40757298      0x26DE832       Executable script, shebang: "/bin/sh"
40759296      0x26DF000       UBIFS filesystem master node, CRC: 0xB7775DB4, highest inode: 260, commit number: 84
40761344      0x26DF800       UBIFS filesystem master node, CRC: 0x316D6FDF, highest inode: 260, commit number: 84
40763392      0x26E0000       UBIFS filesystem master node, CRC: 0x2AFF615C, highest inode: 261, commit number: 85
40765440      0x26E0800       UBIFS filesystem master node, CRC: 0x3EAE7E7B, highest inode: 261, commit number: 85
40767488      0x26E1000       UBIFS filesystem master node, CRC: 0xFFA3630E, highest inode: 268, commit number: 86
40769536      0x26E1800       UBIFS filesystem master node, CRC: 0x79B95165, highest inode: 268, commit number: 86
40771584      0x26E2000       UBIFS filesystem master node, CRC: 0xF75D4968, highest inode: 275, commit number: 87
40773632      0x26E2800       UBIFS filesystem master node, CRC: 0xFB6DBC75, highest inode: 275, commit number: 87
40775680      0x26E3000       UBIFS filesystem master node, CRC: 0xE26C0634, highest inode: 282, commit number: 88
40777728      0x26E3800       UBIFS filesystem master node, CRC: 0xEE5CF329, highest inode: 282, commit number: 88
40779776      0x26E4000       UBIFS filesystem master node, CRC: 0xF980110B, highest inode: 282, commit number: 89
40962098      0x2710832       Executable script, shebang: "/bin/sh"
40976434      0x2714032       Executable script, shebang: "/bin/sh"
41521152      0x2799000       UBIFS filesystem superblock node, CRC: 0x5CA151EF, flags: 0x0, min I/O unit size: 2048, erase block size: 126976, erase block count: 72, max erase blocks: 72, format version: 4, compression type: lzo
42029106      0x2815032       Executable script, shebang: "/bin/sh"
42031154      0x2815832       Executable script, shebang: "/bin/sh"
42072114      0x281F832       Executable script, shebang: "/bin/sh"
42944562      0x28F4832       Executable script, shebang: "/bin/sh"
42948659      0x28F5833       Unix path: /sys/class/net/ath0/parent ] && {
42959548      0x28F82BC       Unix path: /var/run/son.conf
43044864      0x290D000       UBIFS filesystem master node, CRC: 0xBB47A8A9, highest inode: 260, commit number: 84
43046912      0x290D800       UBIFS filesystem master node, CRC: 0xB7775DB4, highest inode: 260, commit number: 84
43048960      0x290E000       UBIFS filesystem master node, CRC: 0x26CF9441, highest inode: 261, commit number: 85
43051008      0x290E800       UBIFS filesystem master node, CRC: 0x2AFF615C, highest inode: 261, commit number: 85
43053056      0x290F000       UBIFS filesystem master node, CRC: 0xF3939613, highest inode: 268, commit number: 86
43055104      0x290F800       UBIFS filesystem master node, CRC: 0xFFA3630E, highest inode: 268, commit number: 86
43057152      0x2910000       UBIFS filesystem master node, CRC: 0xD3CF823B, highest inode: 275, commit number: 87
43059200      0x2910800       UBIFS filesystem master node, CRC: 0xF75D4968, highest inode: 275, commit number: 87
43061248      0x2911000       UBIFS filesystem master node, CRC: 0xA779658F, highest inode: 282, commit number: 88
43063296      0x2911800       UBIFS filesystem master node, CRC: 0xE26C0634, highest inode: 282, commit number: 88
43065344      0x2912000       UBIFS filesystem master node, CRC: 0xEDD10E2C, highest inode: 282, commit number: 89
44314624      0x2A43000       UBIFS filesystem superblock node, CRC: 0x8DBB8FB6, flags: 0x0, min I/O unit size: 2048, erase block size: 126976, erase block count: 104, max erase blocks: 104, format version: 4, compression type: lzo
44568576      0x2A81000       UBIFS filesystem master node, CRC: 0x812729F, highest inode: 66, commit number: 41
44570624      0x2A81800       UBIFS filesystem master node, CRC: 0x1C436DB8, highest inode: 66, commit number: 41
44572672      0x2A82000       UBIFS filesystem master node, CRC: 0x88D2E1DD, highest inode: 66, commit number: 42
44574720      0x2A82800       UBIFS filesystem master node, CRC: 0xB888138F, highest inode: 66, commit number: 43
